地方债简称,地方债代码,到期日,UK
厦门15Z1,109422,2020/8/22,401255a80000022d
厦门15Z2,109423,2025/8/22,401255e40000022e
青海1505,109424,2018/8/25,401255900000022f
青海1506,109425,2020/8/25,401255a800000230
青海1507,109426,2022/8/25,401255c000000231
青海1508,109427,2025/8/25,401255e400000232
青海15Z1,109428,2018/8/25,4.01256E+15
青海15Z2,109429,2020/8/25,401255a800000234
青海15Z3,109430,2022/8/25,401255c000000235
青海15Z4,109431,2025/8/25,401255e400000236
北京15Z1,109432,2018/8/26,4.01256E+15
北京15Z2,109433,2020/8/26,401255a800000238
北京15Z3,109434,2022/8/26,401255c000000239
北京15Z4,109435,2025/8/26,401255e40000023a
陕西1505,109436,2018/8/31,401255900000023b
陕西1506,109437,2020/8/31,401255a80000023c
陕西1507,109438,2022/8/31,401255c00000023d
陕西1508,109439,2025/8/31,401255e40000023e
陕西15Z1,109440,2018/8/31,401255900000023f
陕西15Z2,109441,2020/8/31,401255a800000240
陕西15Z3,109442,2022/8/31,401255c000000241
陕西15Z4,109443,2025/8/31,401255e400000242
陕西15Z5,109444,2018/8/31,4.01256E+15
陕西15Z6,109445,2020/8/31,401255a800000244
陕西15Z7,109446,2022/8/31,401255c000000245
陕西15Z8,109447,2025/8/31,401255e400000246
河南15Z1,109448,2018/9/1,4.01256E+15
河南15Z2,109449,2020/9/1,401255a900000248
河南15Z3,109450,2022/9/1,401255c100000249
河南15Z4,109451,2025/9/1,401255e50000024a
河南1505,109452,2018/9/1,401255910000024b
河南1506,109453,2020/9/1,401255a90000024c
河南1507,109454,2022/9/1,401255c10000024d
河南1508,109455,2025/9/1,401255e50000024e
内蒙1505,109456,2018/9/9,401255910000024f
内蒙1506,109457,2020/9/9,401255a900000250
内蒙1507,109458,2022/9/9,401255c100000251
内蒙1508,109459,2025/9/9,401255e500000252
内蒙15Z1,109460,2018/9/9,4.01256E+15
内蒙15Z2,109461,2020/9/9,401255a900000254
内蒙15Z3,109462,2022/9/9,401255c100000255
内蒙15Z4,109463,2025/9/9,401255e500000256
宁夏1505,109464,2018/9/9,4.01256E+15
宁夏1506,109465,2020/9/9,401255a900000258
宁夏1507,109466,2022/9/9,401255c100000259
宁夏1508,109467,2025/9/9,401255e50000025a
江苏1505,109468,2018/9/11,401255910000025b
江苏1506,109469,2020/9/11,401255a90000025c
江苏1507,109470,2022/9/11,401255c10000025d
江苏1508,109471,2025/9/11,401255e50000025e
江苏15Z4,109472,2018/9/11,401255910000025f
江苏15Z5,109473,2020/9/11,401255a900000260
江苏15Z6,109474,2022/9/11,401255c100000261
江苏15Z7,109475,2025/9/11,401255e500000262
山东15Z4,109476,2018/9/15,4.01256E+15
山东15Z5,109477,2020/9/15,401255a900000264
山东15Z6,109478,2022/9/15,401255c100000265
山东15Z7,109479,2025/9/15,401255e500000266
山东1509,109480,2018/9/15,4.01256E+15
山东1510,109481,2020/9/15,401255a900000268
山东1511,109482,2022/9/15,401255c100000269
山东1512,109483,2025/9/15,401255e50000026a
新疆1513,109484,2018/9/16,401255910000026b
新疆1514,109485,2020/9/16,401255a90000026c
新疆1515,109486,2022/9/16,401255c10000026d
新疆1516,109487,2025/9/16,401255e50000026e
